Row ID,officer_id,timestamp,reason,case_number_present,sha256_hash
1,Officer-7,09/20/2025,narotics,no,dbff2ac0fde66393e8ec4172f4f899e592e29586cd7fc467cb115e59e2391b88
2,Officer-7,09/20/2025,narotics,no,a53de91d5536a35142bf72cdf2f43d71978a17be460b908e984c12fbe28b5660
3,Officer-7,09/20/2025,narotics,no,63e9d567a60aeb4ff6748361f582f5abf59a0ed92ac12cee5666ad21956e13ff
4,Officer-7,09/20/2025,narotics,no,82ac024eb84e608f21edd21b2261c8b8d20c57d3f0252d8cfcc63c36a6517d5f
5,Officer-7,09/20/2025,narotics,no,35cb1ab780240b7a325748e6e52f7c7461d350dbe6d9636bb089db27ec484b5c
6,Officer-23,09/19/2025,Shoplifting,yes,1d4e9c9ed2128a504dd0e17a1dda6ebc6c01b321e8ad8b1d9f541d7c937437a2
7,Officer-23,09/19/2025,Shoplifting,yes,f0b8e3946218059984770364068664edfce768c8afe023c399ccef24b24b4841
8,Officer-23,09/19/2025,Shoplifting,yes,b0cda714b16e9e64aacbf7026522408651a5ad00d36915b1dbb5421b04d24cc5
9,Officer-7,09/19/2025,threats,no,c203eb3a97d8bd316aa76e08fd9cf4d8bcd4437ab83302e02457a73b3e008e14
10,Officer-22,09/21/2025,murder,yes,d78c616f97ba4fae1b52915e37b13fffb3f7a673256a9b1794aaa80bfea73216
11,Officer-7,09/19/2025,threats,no,1360cf6aba2019e0a381def959af26fa76c242b8eb61f3317dd584c5d31e367b
12,Officer-7,09/19/2025,threats,no,997e7fb4ca322cc9f6d8767b812982a10e0632a592c745341d5a45f404355669
13,Officer-21,09/22/2025,assault,no,b6cfb2687854c63a50efec53c9f9d5979a464e5825c2bc52c5a2f64e85b44b37
14,Officer-21,09/22/2025,assault,no,fe5e85f92baa8f1560d6bf3fb63429857e6ae2f7c9b5aa1ffdd43110b46ed910
15,Officer-21,09/22/2025,assault,no,bd8ca194e2363bb16c1abdd3467bbfafb21f454fb89fe728386e9adaa0f299fe
16,Officer-21,09/22/2025,assault,no,3281388541fb0fa1e36649ecb892dd20a79312a82df98387d6404dc9e43ceb2a
17,Officer-30,09/21/2025,Murder suspect,no,1a90c41e22472d6d8c193bca688534017c9460c1778f4689324cf63737d0704d
18,Officer-30,09/21/2025,Murder suspect,no,06205bac9e5bf73c0c89e5a91f018e81c94ddca340e9d14ef5c2ef72d0896ce2
19,Officer-7,09/20/2025,evading,no,f55d9d0c509ea29e7e59131d8548cc279e44812bf71107755f1bc7318ec4fb1a
20,Officer-7,09/20/2025,evading,no,52e318b9697e99d9931a05b3ea7533e48265efa36a0e2d5106e79e797587bcea
21,Officer-7,09/20/2025,evading,no,33b66419df8c6af9c6ee7b4e3f8a5734eb865901d0bc413e9fb5699aceec94c1
22,Officer-7,09/20/2025,evading,no,8fbd836adf3306318f65697acc26ad6eb0c2490d0ef4b6add3e400cf17eb8ed3
23,Officer-7,09/20/2025,evading,no,297b14f56d7e074866120f38bf02f07abdab5e0ed7b90b128263d52c663c7e8d
24,Officer-7,09/20/2025,evading,no,3b0447722f2ab0665d0d9751ce533e03a118f07067a3e683f7e59d0ff57e1fd0
